Accident_Index,Accident Date,Day_of_Week,Junction_Control,Junction_Detail,Accident_Severity,Latitude,Light_Conditions,Local_Authority_(District),Carriageway_Hazards,Longitude,Number_of_Casualties,Number_of_Vehicles,Police_Force,Road_Surface_Conditions,Road_Type,Speed_limit,Time,Urban_or_Rural_Area,Weather_Conditions,Vehicle_Type
A20210100000,01/01/2021,Friday,Stop sign,T or staggered junction,Slight,51.494479,Daylight,Kensington and Chelsea,None,-0.255232,1,2,Metropolitan Police,Wet or damp,Single carriageway,57,07:10,Rural,Fine no high winds,Goods vehicle
A20210100001,02/01/2021,Saturday,Give way or uncontrolled,T or staggered junction,Fatal,51.511702,Darkness - lights lit,Camden,None,-0.215541,3,2,Metropolitan Police,Snow,Motorway,103,22:40,Rural,Raining no high winds,Car
A20210100002,03/01/2021,Sunday,Give way or uncontrolled,Roundabout,Fatal,51.412608,Darkness - lights lit,Camden,None,-0.127295,3,3,Metropolitan Police,Wet or damp,Motorway,121,19:20,Urban,Fine no high winds,Car
A20210100003,04/01/2021,Monday,Auto traffic signal,Not at junction or within 20 metres,Slight,51.533458,Darkness - lights lit,Westminster,None,-0.200771,1,2,Metropolitan Police,Snow,Single carriageway,26,02:15,Urban,Fine no high winds,Car
A20210100004,05/01/2021,Tuesday,Give way or uncontrolled,Not at junction or within 20 metres,Fatal,51.451885,Darkness - lights lit,Kensington and Chelsea,None,-0.223352,3,1,Metropolitan Police,Snow,Motorway,115,05:35,Rural,Fine no high winds,Motorcycle
A20210100005,06/01/2021,Wednesday,Auto traffic signal,Not at junction or within 20 metres,Slight,51.473416,Darkness - lights lit,Camden,None,-0.237659,1,3,Metropolitan Police,Frost or ice,Residential street,33,22:25,Urban,Fine no high winds,Goods vehicle
A20210100006,07/01/2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.500391,Daylight,Hammersmith and Fulham,None,-0.164575,1,4,Metropolitan Police,Frost or ice,Residential street,25,16:35,Urban,Fine no high winds,Goods vehicle
A20210100007,08/01/2021,Friday,Auto traffic signal,Not at junction or within 20 metres,Moderate,51.454428,Darkness - lights lit,Camden,None,-0.190438,3,4,Metropolitan Police,Dry,Residential street,48,00:50,Suburban,Raining no high winds,Bus
A20210100008,09/01/2021,Saturday,Give way or uncontrolled,Roundabout,Moderate,51.522002,Darkness - lights lit,Kensington and Chelsea,None,-0.164169,3,4,Metropolitan Police,Dry,Dual carriageway,77,03:50,Suburban,Fog or mist,Car
A20210100009,10/01/2021,Sunday,Give way or uncontrolled,Not at junction or within 20 metres,Fatal,51.477758,Daylight,Kensington and Chelsea,None,-0.103522,3,2,Metropolitan Police,Wet or damp,Motorway,111,09:15,Suburban,Snowing no high winds,Motorcycle
